Name,Enabeled,Status,Last Run Outcome,Last Run,Next Run,Category,Runnable,Scheduled,CategoryID
U BW_BI - hst.user_local,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.lot_loc,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.do_hdr,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.UserNames,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.UserEmail,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.GroupNames,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.dcta,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.itemlifo,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.UserGroupMap,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.trnitem,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.custaddr,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.coitem - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.frzcost - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.currate - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.item_ty - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.itemwhse,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.vendor,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.distacct - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.co - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.prodcode,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.customer - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.transfer,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.AccountAuthorizations - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.unitcd2,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.endtype - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.itemloc,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.employee,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
U BW_BI - hst.slsman,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.itemprice - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
BW_BI - hst.co_bln - NESTOR,yes,Idle ,Succeeded,3/29/23 13:00,3/29/23 13:30,[Uncategorized (Local)],yes,yes,0
SL - ELT Duration Tracker,yes,Idle ,Succeeded,3/29/23 6:00,3/30/23 6:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Planning View Detail - BW_BI,yes,Idle ,Succeeded,3/29/23 4:55,3/30/23 4:55,[Uncategorized (Local)],yes,yes,0
BW_BI - Invoice_Items_View - BW_BI,yes,Idle ,Succeeded,3/29/23 4:45,3/30/23 4:45,[Uncategorized (Local)],yes,yes,0
BW_BI - CFY poitem - SL,yes,Idle ,Succeeded,3/29/23 4:35,3/30/23 4:35,[Uncategorized (Local)],yes,yes,0
BW_BI - OrdersAndShipments - BW_BI,yes,Idle ,Succeeded,3/29/23 4:30,3/30/23 4:30,[Uncategorized (Local)],yes,yes,0
BW_BI - CFY po - SL,yes,Idle ,Succeeded,3/29/23 4:30,3/30/23 4:30,[Uncategorized (Local)],yes,yes,0
BW_BI - CFY co - SL,yes,Idle ,Succeeded,3/29/23 4:25,3/30/23 4:25,[Uncategorized (Local)],yes,yes,0
BW_BI - Job_Cost_Type_Table - BW_BI,yes,Idle ,Succeeded,3/29/23 4:00,3/30/23 4:00,[Uncategorized (Local)],yes,yes,0
SL - trnitem - NESTOR,yes,Idle ,Succeeded,3/29/23 3:49,3/30/23 3:49,[Uncategorized (Local)],yes,yes,0
SL - item_category_vendor - NESTOR,yes,Idle ,Succeeded,3/29/23 3:46,3/30/23 3:46,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT Employee View - SL,yes,Idle ,Succeeded,3/29/23 3:45,3/30/23 3:45,[Uncategorized (Local)],yes,yes,0
BW_BI - Budget Summary - BW_BI,yes,Idle ,Succeeded,3/29/23 3:45,3/30/23 3:45,[Uncategorized (Local)],yes,yes,0
BW_BI - Recursive Setup Hours per UM per Manufactured Item for a Site - NESTOR,yes,Idle ,Succeeded,3/29/23 3:45,3/30/23 3:45,[Uncategorized (Local)],yes,yes,0
SL - item_category_lang - NESTOR,yes,Idle ,Succeeded,3/29/23 3:43,3/30/23 3:43,[Uncategorized (Local)],yes,yes,0
SL - item_category_item - NESTOR,yes,Idle ,Succeeded,3/29/23 3:40,3/30/23 3:40,[Uncategorized (Local)],yes,yes,0
BW_BI - RPA Full  Using Incremental Update - SL,yes,Idle ,Succeeded,3/29/23 3:39,3/30/23 3:39,[Uncategorized (Local)],yes,yes,0
SL - famcode - NESTOR,yes,Idle ,Succeeded,3/29/23 3:37,3/30/23 3:37,[Uncategorized (Local)],yes,yes,0
SL - Codes - Dept Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 3:34,3/30/23 3:34,[Uncategorized (Local)],yes,yes,0
DRACONES to BW_BI - SB_Sales_Est_CO Update - DRACONES,yes,Idle ,Succeeded,3/29/23 3:33,3/30/23 3:33,[Uncategorized (Local)],yes,yes,0
SL - vendcat - NESTOR,yes,Idle ,Succeeded,3/29/23 3:32,3/30/23 3:32,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT Job_Operation_Performance_View - SL,yes,Idle ,Succeeded,3/29/23 3:30,3/30/23 3:30,[Uncategorized (Local)],yes,yes,0
BW_BI - Material_Transaction_View - Previous Fiscal Year to Date - SL,yes,Idle ,Succeeded,3/29/23 3:30,3/30/23 3:30,[Uncategorized (Local)],yes,yes,0
BW_BI - AR Manual Adjustment - NESTOR,yes,Idle ,Failed,3/29/23 3:30,3/30/23 3:30,[Uncategorized (Local)],yes,yes,0
SL - Update RPA_Code_Reference - NESTOR,yes,Idle ,Succeeded,3/29/23 3:29,3/30/23 3:29,[Uncategorized (Local)],yes,yes,0
SL - parms_all sync - NESTOR,yes,Idle ,Succeeded,3/29/23 3:26,3/30/23 3:26,[Uncategorized (Local)],yes,yes,0
SL - item_category_hierarchy - NESTOR,yes,Idle ,Succeeded,3/29/23 3:21,3/30/23 3:21,[Uncategorized (Local)],yes,yes,0
BW_BI - matltran_qty_finished_two_year_endofmonth - SL,yes,Idle ,Succeeded,3/29/23 3:20,3/30/23 3:20,[Uncategorized (Local)],yes,yes,0
SL - Custaddr - Slsman - Employee Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 3:18,3/30/23 3:18,[Uncategorized (Local)],yes,yes,0
SL - commodity - NESTOR,yes,Idle ,Succeeded,3/29/23 3:15,3/30/23 3:15,[Uncategorized (Local)],yes,yes,0
SL - shipcode - NESTOR,yes,Idle ,Succeeded,3/29/23 3:12,3/30/23 3:12,[Uncategorized (Local)],yes,yes,0
SL - itemcustprice - NESTOR,yes,Idle ,Succeeded,3/29/23 3:09,3/30/23 3:09,[Uncategorized (Local)],yes,yes,0
SL - custtype - NESTOR,yes,Idle ,Succeeded,3/29/23 3:06,3/30/23 3:06,[Uncategorized (Local)],yes,yes,0
BW_BI - Department_UC1_Reference - SL,yes,Idle ,Succeeded,3/29/23 3:05,3/30/23 3:05,[Uncategorized (Local)],yes,yes,0
SL - BW_Region_Code Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 3:03,3/30/23 3:03,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT Job_Materials_Performance_View - SL,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
Reference - Job Tran Employee Hours - SL,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Production Credit Incremental -NFs - SL,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
SL - attribute_group - NESTOR,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
BW_BI - PO View Full - SL,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Matl Qtys - SL,yes,Idle ,Succeeded,3/29/23 3:00,3/30/23 3:00,[Uncategorized (Local)],yes,yes,0
SL - rsvd_inv - NESTOR,yes,Idle ,Succeeded,3/29/23 2:57,3/30/23 2:57,[Uncategorized (Local)],yes,yes,0
SL - edi870_bol_item - NESTOR,yes,Idle ,Succeeded,3/29/23 2:54,3/30/23 2:54,[Uncategorized (Local)],yes,yes,0
SL - related_item - NESTOR,yes,Idle ,Succeeded,3/29/23 2:51,3/30/23 2:51,[Uncategorized (Local)],yes,yes,0
SL - Location Update - NESTOR,yes,Idle ,Succeeded,3/29/23 2:48,3/30/23 2:48,[Uncategorized (Local)],yes,yes,0
BW_BI - Recursive Labor Run Hours per UM per Manufactured Item for a Site - NESTOR,yes,Idle ,Succeeded,3/29/23 2:45,3/30/23 2:45,[Uncategorized (Local)],yes,yes,0
SL - Job Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:45,3/30/23 2:45,[Uncategorized (Local)],yes,yes,0
SL - endtype - NESTOR,yes,Idle ,Succeeded,3/29/23 2:42,3/30/23 2:42,[Uncategorized (Local)],yes,yes,0
SL - prdecd Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:39,3/30/23 2:39,[Uncategorized (Local)],yes,yes,0
SL - arparms_all - NESTOR,yes,Idle ,Succeeded,3/29/23 2:36,3/30/23 2:36,[Uncategorized (Local)],yes,yes,0
SL - Shift - jrtresourcegroup - wc Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:33,3/30/23 2:33,[Uncategorized (Local)],yes,yes,0
SL - prodcode Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:30,3/30/23 2:30,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT Job_View - SL,yes,Idle ,Succeeded,3/29/23 2:30,3/30/23 2:30,[Uncategorized (Local)],yes,yes,0
SL - coh and citemh Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:27,3/30/23 2:27,[Uncategorized (Local)],yes,yes,0
SL - edi870_bol - NESTOR,yes,Idle ,Succeeded,3/29/23 2:24,3/30/23 2:24,[Uncategorized (Local)],yes,yes,0
SL - pck_hdr - NESTOR,yes,Idle ,Succeeded,3/29/23 2:21,3/30/23 2:21,[Uncategorized (Local)],yes,yes,0
SL - item_category - NESTOR,yes,Idle ,Succeeded,3/29/23 2:18,3/30/23 2:18,[Uncategorized (Local)],yes,yes,0
SL - frzcost - NESTOR,yes,Idle ,Succeeded,3/29/23 2:15,3/30/23 2:15,[Uncategorized (Local)],yes,yes,0
SL - Lot - Lot_loc and Itemwhse - NESTOR,yes,Idle ,Succeeded,3/29/23 2:12,3/30/23 2:12,[Uncategorized (Local)],yes,yes,0
BW_BI - Employee Hours - NESTOR,yes,Idle ,Succeeded,3/29/23 2:10,3/30/23 2:10,[Uncategorized (Local)],yes,yes,0
SL - attribute_value - NESTOR,yes,Idle ,Succeeded,3/29/23 2:09,3/30/23 2:09,[Uncategorized (Local)],yes,yes,0
SL - PO and RMA Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:06,3/30/23 2:06,[Uncategorized (Local)],yes,yes,0
SL - RS Quality - NESTOR,yes,Idle ,Succeeded,3/29/23 2:05,3/30/23 2:05,[Uncategorized (Local)],yes,yes,0
SL - Sync BW_SalesBudgetItemByMonth - NESTOR,yes,Idle ,Succeeded,3/29/23 2:03,3/30/23 2:03,[Uncategorized (Local)],yes,yes,0
BW_BI - Item History - BW_BI,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - do_hdr - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - do_seq - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - Chart - Chart_bp Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - do_line - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Daily Date Table - BW_BI,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - RPA Open Steps - NESTOR,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
BW_BI - NRT_Resources_Table - SL,yes,Idle ,Succeeded,3/29/23 2:00,3/30/23 2:00,[Uncategorized (Local)],yes,yes,0
SL - pckitem - NESTOR,yes,Idle ,Succeeded,3/29/23 1:57,3/30/23 1:57,[Uncategorized (Local)],yes,yes,0
BW_BI - inv_hdr inv_stax Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:55,3/30/23 1:55,[Uncategorized (Local)],yes,yes,0
SL - citemh Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:54,3/30/23 1:54,[Uncategorized (Local)],yes,yes,0
SL - edi_bol - NESTOR,yes,Idle ,Succeeded,3/29/23 1:51,3/30/23 1:51,[Uncategorized (Local)],yes,yes,0
SL - edi_bol_item - NESTOR,yes,Idle ,Succeeded,3/29/23 1:48,3/30/23 1:48,[Uncategorized (Local)],yes,yes,0
SL - distacct Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
BW_BI - frzcost_hst system version replacement - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
BW_BI - Recursive Machine Run Hours per UM per Manufactured Item for a Site - NESTOR,yes,Idle ,Succeeded,3/29/23 1:45,3/30/23 1:45,[Uncategorized (Local)],yes,yes,0
SL - RESSUM000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:43,3/30/23 1:43,[Uncategorized (Local)],yes,yes,0
SL - Employee_Resource_SL - NESTOR,yes,Idle ,Succeeded,3/29/23 1:39,3/30/23 1:39,[Uncategorized (Local)],yes,yes,0
BW_BI - Invoice Items Adjustments Import - NESTOR,yes,Idle ,Succeeded,3/29/23 1:37,3/30/23 1:37,[Uncategorized (Local)],yes,yes,0
SL - jrt_sch Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:36,3/30/23 1:36,[Uncategorized (Local)],yes,yes,0
BW_BI - APTRXP - NESTOR,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - aptrxd - NESTOR,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - arparms_all Sync - BW_BI,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - ESBMatlTrackLotsView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:35,3/30/23 1:35,[Uncategorized (Local)],yes,yes,0
BW_BI - Sync InventoryByMonth - REFERENCE,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - Vendor Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - CAL000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
BW_BI - ARAgingCustView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - SHIFTEXDI000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:32,3/30/23 1:32,[Uncategorized (Local)],yes,yes,0
BW_BI - Bookings V4 to Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:30,3/30/23 1:30,[Uncategorized (Local)],yes,yes,0
BW_BI - ESBPayableHeaderView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:24,3/30/23 1:24,[Uncategorized (Local)],yes,yes,0
SL - SHIFT000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:21,3/30/23 1:21,[Uncategorized (Local)],yes,yes,0
SL - itemloc - NESTOR,yes,Idle ,Succeeded,3/29/23 1:15,3/30/23 1:15,[Uncategorized (Local)],yes,yes,0
SL - RESSCHD000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:15,3/30/23 1:15,[Uncategorized (Local)],yes,yes,0
SL - BW_MfgLabel - NESTOR,yes,Idle ,Succeeded,3/29/23 1:11,3/30/23 1:11,[Uncategorized (Local)],yes,yes,0
SL - RESRC000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:11,3/30/23 1:11,[Uncategorized (Local)],yes,yes,0
SL - whse - NESTOR,yes,Idle ,Succeeded,3/29/23 1:10,3/30/23 1:10,[Uncategorized (Local)],yes,yes,0
SL - RESLOAD000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:09,3/30/23 1:09,[Uncategorized (Local)],yes,yes,0
BW_BI - item_hst system version replacement - NESTOR,yes,Idle ,Succeeded,3/29/23 1:07,3/30/23 1:07,[Uncategorized (Local)],yes,yes,0
BW_BI - co_ship - NESTOR,yes,Idle ,Succeeded,3/29/23 1:05,3/30/23 1:05,[Uncategorized (Local)],yes,yes,0
SL - co_ship - NESTOR,yes,Idle ,Succeeded,3/29/23 1:05,3/30/23 1:05,[Uncategorized (Local)],yes,yes,0
Reference - site Sync - SL,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - dcta Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - CO and Item Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,Data Collector,yes,yes,8
SL - jobtran Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
Reference - currparms_all Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - dcsfc Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Planning Details View Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Ledger_View - Previous Fiscal Year to Date - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - Update Combined Notes - NESTOR,yes,Idle ,Succeeded,3/29/23 0:55,3/30/23 0:55,[Uncategorized (Local)],yes,yes,0
SL - artran - inv_item Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 0:50,3/30/23 0:50,[Uncategorized (Local)],yes,yes,0
SL - timeatt Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 0:45,3/30/23 0:45,[Uncategorized (Local)],yes,yes,0
SL - pertot - NESTOR,yes,Idle ,Succeeded,3/29/23 0:35,3/30/23 0:35,[Uncategorized (Local)],yes,yes,0
SL - matltran only add new - NESTOR,yes,Idle ,Succeeded,3/29/23 0:30,3/30/23 0:30,[Uncategorized (Local)],yes,yes,0
Reference - Currency Rate Update - NESTOR,yes,Idle ,Succeeded,3/29/23 0:20,3/30/23 0:20,[Uncategorized (Local)],yes,yes,0
BW_BI - CO Actual Cost (All Sites) - NESTOR,yes,Idle ,Succeeded,3/29/23 0:15,3/30/23 0:15,[Uncategorized (Local)],yes,yes,0
SL - Ledger Fiscal Year Only - NESTOR,yes,Idle ,Succeeded,3/29/23 0:10,3/30/23 0:10,[Uncategorized (Local)],yes,yes,0
SL - Site_Time - NESTOR,yes,Idle ,Succeeded,3/29/23 0:05,3/30/23 0:05,[Uncategorized (Local)],yes,yes,0
BW_BI - Sales Budget Monthly - SL,yes,Idle ,Succeeded,3/27/23 4:30,4/3/23 4:30,[Uncategorized (Local)],yes,yes,0
SL - itemcust - NESTOR,yes,Idle ,Succeeded,3/26/23 2:25,4/2/23 2:25,[Uncategorized (Local)],yes,yes,0
SL - CORP Project Sync - NESTOR,yes,Idle ,Succeeded,3/26/23 2:15,4/2/23 2:15,[Uncategorized (Local)],yes,yes,0
SL - matltrack - NESTOR,yes,Idle ,Succeeded,3/26/23 1:00,4/2/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - Note(s) Table Update - NESTOR,yes,Idle ,Succeeded,3/25/23 18:00,4/1/23 18:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Resin Surcharge Table - BW_BI,yes,Idle ,Succeeded,3/25/23 17:00,4/1/23 17:00,[Uncategorized (Local)],yes,yes,0
BW_BI - reason table full - SL,yes,Idle ,Succeeded,3/25/23 16:00,4/1/23 16:00,[Uncategorized (Local)],yes,yes,0
